Episode_num Num_steps Reward Lap_count
1 62 51 1
2 117 44 1
3 195 67 1
4 261 55 1
5 316 44 1
6 372 45 1
7 444 61 1
8 510 55 1
9 673 152 1
10 823 139 1
11 890 56 1
12 947 46 1
13 999 41 1
14 1056 46 1
15 1122 55 1
16 1205 72 1
17 1255 39 1
18 1320 54 1
19 1415 84 1
20 1481 55 1
21 1533 41 1
22 1603 59 1
23 1674 60 1
24 1740 55 1
25 1822 71 1
26 1981 148 1
27 2116 124 1
28 2220 93 1
29 2400 169 1
30 2508 97 1
31 2572 53 1
32 2689 106 1
33 2864 164 1
34 3041 166 1
35 3117 65 1
36 3198 70 1
37 3329 120 1
38 3404 64 1
39 3454 39 1
40 3507 42 1
41 3601 83 1
42 3667 55 1
43 3766 88 1
44 3841 64 1
45 3889 37 1
46 3969 69 1
47 4070 90 1
48 4153 72 1
49 4213 49 1
50 4290 66 1
51 4408 107 1
52 4462 43 1
53 4642 169 1
54 4778 125 1
55 4841 52 1
56 5007 155 1
57 5175 157 1
58 5311 125 1
59 5380 58 1
60 5448 57 1
61 5551 92 1
62 5610 48 1
63 5665 44 1
64 5735 59 1
65 5868 122 1
66 5924 45 1
67 6045 110 1
68 6118 62 1
69 6167 38 1
70 6278 100 1
71 6387 98 1
72 6435 37 1
73 6590 144 1
74 6644 43 1
75 6769 114 1
76 6930 150 1
77 6987 46 1
78 7047 49 1
79 7160 102 1
80 7214 43 1
81 7276 51 1
82 7366 79 1
83 7419 42 1
84 7469 39 1
85 7587 107 1
86 7726 128 1
87 7814 77 1
88 7856 31 1
89 7956 89 1
90 8067 100 1
91 8157 79 1
92 8257 89 1
93 8362 94 1
94 8497 124 1
95 8551 43 1
96 8644 82 1
97 8812 157 1
98 8897 74 1
99 9013 105 1
100 9063 39 1
101 9148 74 1
102 9202 43 1
103 9287 74 1
104 9454 156 1
105 9631 166 1
106 9686 44 1
107 9766 69 1
108 9820 43 1
109 9880 49 1
110 9927 36 1
111 10001 63 1
112 10065 53 1
113 10113 37 1
114 10186 62 1
115 10236 39 1
116 10310 63 1
117 10377 56 1
118 10436 48 1
119 10478 31 1
120 10560 71 1
121 10638 67 1
122 10694 45 1
123 10755 50 1
124 10804 38 1
125 10986 171 1
126 11042 45 1
127 11105 52 1
128 11171 55 1
129 11219 37 1
130 11292 62 1
131 11349 46 1
132 11416 56 1
133 11485 58 1
134 11531 35 1
135 11576 34 1
136 11693 106 1
137 11749 45 1
138 11835 75 1
139 11890 44 1
140 11971 70 1
141 12153 171 1
142 12330 166 1
143 12405 64 1
144 12457 41 1
145 12513 45 1
146 12572 48 1
147 12646 63 1
148 12708 51 1
149 12791 72 1
150 12848 46 1
151 13005 146 1
152 13048 32 1
153 13088 29 1
154 13214 115 1
155 13341 116 1
156 13386 34 1
157 13482 85 1
158 13529 36 1
159 13568 28 1
160 13762 183 1
161 13862 89 1
162 13923 50 1
163 13963 29 1
164 14008 34 1
165 14078 59 1
166 14142 53 1
167 14180 27 1
168 14227 36 1
