Episode_num Num_steps Reward Lap_count
1 51 40 1
2 119 57 1
3 288 158 1
4 392 93 1
5 438 35 1
6 512 63 1
7 591 68 1
8 658 56 1
9 708 39 1
10 761 42 1
11 811 39 1
12 971 149 1
13 1127 145 1
14 1307 169 1
15 1377 59 1
16 1466 78 1
17 1540 63 1
18 1603 52 1
19 1666 52 1
20 1763 86 1
21 1906 132 1
22 2061 144 1
23 2115 43 1
24 2178 52 1
25 2263 74 1
26 2355 81 1
27 2528 162 1
28 2626 87 1
29 2691 54 1
30 2764 62 1
31 2893 118 1
32 3018 114 1
33 3081 52 1
34 3244 152 1
35 3324 69 1
36 3391 56 1
37 3451 49 1
38 3519 57 1
39 3631 101 1
40 3693 51 1
41 3757 53 1
42 3836 68 1
43 3890 43 1
44 3952 51 1
45 4000 37 1
46 4061 50 1
47 4113 41 1
48 4177 53 1
49 4243 55 1
50 4351 97 1
51 4424 62 1
52 4499 64 1
53 4588 78 1
54 4652 53 1
55 4720 57 1
56 4777 46 1
57 4948 160 1
58 5019 60 1
59 5132 102 1
60 5208 65 1
61 5303 84 1
62 5368 54 1
63 5546 166 1
64 5616 59 1
65 5737 110 1
66 5925 177 1
67 6000 64 1
68 6058 47 1
69 6169 100 1
70 6294 114 1
71 6385 80 1
72 6486 90 1
73 6535 38 1
74 6598 52 1
75 6693 84 1
76 6767 63 1
77 6829 51 1
78 6962 122 1
79 7015 42 1
80 7124 98 1
81 7231 96 1
82 7279 37 1
83 7360 70 1
84 7434 63 1
85 7566 121 1
86 7708 131 1
87 7798 79 1
88 7922 113 1
89 8027 94 1
90 8101 63 1
91 8180 68 1
92 8253 62 1
93 8318 54 1
94 8502 172 1
95 8673 160 1
96 8721 37 1
97 8807 75 1
98 8868 50 1
99 8959 80 1
100 9014 44 1
101 9066 41 1
102 9129 52 1
103 9211 71 1
104 9301 79 1
105 9449 137 1
106 9496 36 1
107 9670 163 1
108 9737 56 1
109 9918 170 1
110 10001 72 1
111 10065 53 1
112 10114 38 1
113 10185 60 1
114 10363 167 1
115 10470 96 1
116 10518 37 1
117 10561 32 1
118 10749 177 1
119 10809 49 1
120 10893 73 1
121 10959 55 1
122 11018 48 1
123 11093 64 1
124 11173 69 1
125 11231 47 1
126 11331 89 1
127 11469 127 1
128 11532 52 1
129 11575 32 1
130 11628 42 1
131 11677 38 1
132 11727 39 1
133 11790 52 1
134 11845 44 1
135 11908 52 1
136 11958 39 1
137 12044 75 1
138 12136 81 1
139 12305 158 1
140 12365 49 1
141 12413 37 1
142 12464 40 1
143 12512 37 1
144 12601 78 1
145 12649 37 1
146 12703 43 1
147 12743 29 1
148 12803 49 1
149 12851 37 1
150 12936 74 1
151 12997 50 1
152 13040 32 1
153 13078 27 1
154 13115 26 1
155 13157 31 1
156 13250 82 1
157 13318 57 1
158 13364 35 1
159 13410 35 1
160 13456 35 1
161 13511 44 1
162 13556 34 1
163 13614 47 1
164 13659 34 1
165 13711 41 1
166 13759 37 1
167 13813 43 1
168 13860 36 1
169 13905 34 1
170 13954 38 1
171 13997 32 1
172 14046 38 1
173 14098 41 1
174 14148 39 1
175 14228 69 1
176 14277 38 1
177 14326 38 1
178 14454 117 1
179 14527 62 1
180 14601 63 1
181 14692 80 1
182 14742 39 1
183 14819 66 1
184 14861 31 1
185 14952 80 1
186 15071 108 1
187 15121 39 1
188 15168 36 1
189 15219 40 1
190 15306 76 1
191 15442 125 1
192 15519 66 1
193 15579 49 1
194 15850 260 1
195 15939 78 1
196 16033 83 1
197 16102 58 1
198 16287 174 1
199 16354 56 1
200 16800 435 1
201 17341 530 1
202 17520 168 1
203 17682 151 1
204 17863 170 1
205 18041 167 1
206 18218 166 1
207 18389 160 1
208 18547 147 1
209 18696 138 1
210 18863 156 1
211 19017 143 1
212 19172 144 1
213 19329 146 1
214 19543 203 1
215 19619 65 1
216 19769 139 1
217 19937 157 1
218 20001 53 1
219 20515 503 1
220 20694 168 1
221 20877 172 1
222 21067 179 1
223 21223 145 1
224 21378 144 1
225 21485 96 1
226 21636 140 1
227 21795 148 1
228 21940 134 1
229 22100 149 1
230 22251 140 1
231 22406 144 1
232 22600 183 1
233 22777 166 1
234 22956 168 1
235 23148 181 1
236 23334 175 1
237 23482 137 1
238 23617 124 1
239 24136 508 1
240 24302 155 1
241 24474 161 1
242 24638 153 1
243 24812 163 1
244 25009 186 1
245 25187 167 1
246 25707 509 1
247 25877 159 1
248 26086 198 1
249 26244 147 1
250 26804 549 1
251 26912 97 1
252 27131 208 1
253 27653 511 1
254 28184 520 1
255 28528 333 1
256 28874 335 1
257 29822 937 2
258 30001 168 1
259 30349 337 1
260 30958 598 1
261 31567 598 1
262 31910 332 1
263 32248 327 1
264 32588 329 1
265 33194 595 1
266 33543 338 1
267 34485 931 2
268 34607 111 1
269 34954 336 1
270 35302 337 1
271 36242 929 2
272 36589 336 1
273 36939 339 1
274 37292 342 1
275 37639 336 1
276 37989 339 1
277 38339 339 1
278 38690 340 1
279 39031 330 1
280 39379 337 1
281 39737 347 1
282 39865 117 1
283 40001 125 1
284 40348 336 1
285 41297 938 2
286 41636 328 1
287 41980 333 1
288 42331 340 1
289 42941 598 1
290 43288 336 1
291 43632 333 1
292 43988 345 1
293 44346 347 1
294 44686 329 1
295 45035 338 1
296 45371 325 1
297 45719 337 1
298 46063 333 1
299 46403 329 1
300 46740 326 1
301 47080 329 1
302 47426 335 1
303 47773 336 1
304 48118 334 1
305 48462 333 1
306 48807 334 1
307 49142 324 1
308 49493 340 1
309 49829 325 1
310 49891 51 1
