Episode_num Num_steps Reward Lap_count
1 111 100 1
2 219 97 1
3 266 36 1
4 384 107 1
5 423 28 1
6 465 31 1
7 539 63 1
8 626 76 1
9 684 47 1
10 752 57 1
11 816 53 1
12 911 84 1
13 960 38 1
14 1002 31 1
15 1051 38 1
16 1093 31 1
17 1163 59 1
18 1241 67 1
19 1464 212 1
20 1519 44 1
21 1570 40 1
22 1626 45 1
23 1725 88 1
24 1765 29 1
25 1847 71 1
26 1892 34 1
27 2011 108 1
28 2064 42 1
29 2110 35 1
30 2166 45 1
31 2226 49 1
32 2271 34 1
33 2381 99 1
34 2454 62 1
35 2535 70 1
36 2645 99 1
37 2695 39 1
38 2743 37 1
39 2825 71 1
40 2910 74 1
41 2999 78 1
42 3064 54 1
43 3145 70 1
44 3208 52 1
45 3258 39 1
46 3328 59 1
47 3374 35 1
48 3418 33 1
49 3465 36 1
50 3511 35 1
51 3618 96 1
52 3666 37 1
53 3782 105 1
54 3902 109 1
55 3979 66 1
56 4037 47 1
57 4093 45 1
58 4136 32 1
59 4213 66 1
60 4255 31 1
61 4295 29 1
62 4343 37 1
63 4411 57 1
64 4468 46 1
65 4528 49 1
66 4583 44 1
67 4625 31 1
68 4672 36 1
69 4746 63 1
70 4807 50 1
71 4872 54 1
72 4918 35 1
73 4990 61 1
74 5093 92 1
75 5142 38 1
76 5187 34 1
77 5247 49 1
78 5292 34 1
79 5337 34 1
80 5390 42 1
81 5478 77 1
82 5574 85 1
83 5635 50 1
84 5738 92 1
85 5808 59 1
86 5882 63 1
87 5981 88 1
88 6037 45 1
89 6077 29 1
90 6122 34 1
91 6194 61 1
92 6299 94 1
93 6349 39 1
94 6395 35 1
95 6474 68 1
96 6546 61 1
97 6597 40 1
98 6681 73 1
99 6731 39 1
100 6896 154 1
101 6978 71 1
102 7032 43 1
103 7110 67 1
104 7162 41 1
105 7262 89 1
106 7318 45 1
107 7484 155 1
108 7525 30 1
109 7624 88 1
110 7718 83 1
111 7804 75 1
112 7855 40 1
113 7953 87 1
114 8122 158 1
115 8170 37 1
116 8218 37 1
117 8286 57 1
118 8359 62 1
119 8428 58 1
120 8482 43 1
121 8647 154 1
122 8716 58 1
123 8779 52 1
124 8841 51 1
125 8904 52 1
126 8972 57 1
127 9101 118 1
128 9186 74 1
129 9252 55 1
130 9361 98 1
131 9416 44 1
132 9516 89 1
133 9572 45 1
134 9641 58 1
135 9696 44 1
136 9760 53 1
137 9905 134 1
138 9967 51 1
139 10001 23 1
140 10077 65 1
141 10114 26 1
142 10170 45 1
143 10224 43 1
144 10291 56 1
145 10364 62 1
146 10406 31 1
147 10453 36 1
148 10491 27 1
149 10593 91 1
150 10642 38 1
151 10683 30 1
152 10720 26 1
153 10760 29 1
154 10805 34 1
155 10900 84 1
156 10951 40 1
157 11019 57 1
158 11077 47 1
159 11143 55 1
160 11189 35 1
161 11255 55 1
162 11313 47 1
163 11370 46 1
164 11426 45 1
165 11513 76 1
166 11558 34 1
167 11636 67 1
168 11675 28 1
169 11718 32 1
170 11763 34 1
171 11881 107 1
172 11936 44 1
173 12005 58 1
174 12056 40 1
175 12105 38 1
176 12184 68 1
177 12223 28 1
178 12286 52 1
179 12340 43 1
180 12428 77 1
181 12465 26 1
182 12508 32 1
183 12565 46 1
184 12608 32 1
185 12656 37 1
186 12764 97 1
187 12817 42 1
188 12853 25 1
189 12920 56 1
190 12972 41 1
191 13021 38 1
192 13087 55 1
193 13131 33 1
194 13241 99 1
195 13279 27 1
196 13352 62 1
197 13396 33 1
198 13446 39 1
199 13490 33 1
200 13534 33 1
201 13570 25 1
202 13646 65 1
203 13688 31 1
204 13732 33 1
205 13772 29 1
206 13811 28 1
207 13856 34 1
208 13903 36 1
209 13944 30 1
210 13988 33 1
211 14037 38 1
212 14081 33 1
213 14128 36 1
214 14172 33 1
215 14232 49 1
216 14281 38 1
217 14327 35 1
218 14364 26 1
219 14411 36 1
220 14460 38 1
221 14516 45 1
222 14562 35 1
223 14599 26 1
224 14682 72 1
225 14745 52 1
226 14829 73 1
227 14929 89 1
228 14982 42 1
229 15029 36 1
230 15092 52 1
231 15136 33 1
232 15174 27 1
233 15232 47 1
234 15298 55 1
235 15339 30 1
236 15376 26 1
237 15413 26 1
238 15480 56 1
239 15538 47 1
240 15576 27 1
241 15619 32 1
242 15657 27 1
243 15710 42 1
244 15757 36 1
245 15800 32 1
246 15844 33 1
247 15909 54 1
248 15948 28 1
249 15988 29 1
250 16029 30 1
251 16090 50 1
252 16145 44 1
253 16198 42 1
254 16234 25 1
255 16273 28 1
256 16313 29 1
257 16349 25 1
258 16397 37 1
259 16435 27 1
260 16480 34 1
261 16524 33 1
262 16559 24 1
263 16601 31 1
264 16640 28 1
265 16751 100 1
266 16795 33 1
267 16832 26 1
268 16870 27 1
269 16923 42 1
270 16979 45 1
271 17018 28 1
272 17055 26 1
273 17097 31 1
274 17146 38 1
275 17212 55 1
276 17262 39 1
277 17351 78 1
278 17401 39 1
279 17446 34 1
280 17489 32 1
281 17528 28 1
282 17592 53 1
