Episode_num Num_steps Reward Lap_count
1 64 53 1
2 112 37 1
3 186 63 1
4 239 42 1
5 296 46 1
6 355 48 1
7 419 53 1
8 547 117 1
9 693 135 1
10 745 41 1
11 800 44 1
12 960 149 1
13 1045 74 1
14 1100 44 1
15 1184 73 1
16 1231 36 1
17 1289 47 1
18 1438 138 1
19 1502 53 1
20 1622 109 1
21 1700 67 1
22 1748 37 1
23 1864 105 1
24 1937 62 1
25 2002 54 1
26 2109 96 1
27 2254 134 1
28 2320 55 1
29 2396 65 1
30 2498 91 1
31 2551 42 1
32 2720 158 1
33 2828 97 1
34 2874 35 1
35 2926 41 1
36 3090 153 1
37 3158 57 1
38 3206 37 1
39 3274 57 1
40 3325 40 1
41 3490 154 1
42 3544 43 1
43 3598 43 1
44 3692 83 1
45 3817 114 1
46 3883 55 1
47 3952 58 1
48 4023 60 1
49 4123 89 1
50 4183 49 1
51 4264 70 1
52 4391 116 1
53 4447 45 1
54 4576 118 1
55 4661 74 1
56 4706 34 1
57 4867 150 1
58 5030 152 1
59 5092 51 1
60 5211 108 1
61 5283 61 1
62 5351 57 1
63 5487 125 1
64 5627 129 1
65 5680 42 1
66 5829 138 1
67 5884 44 1
68 6050 155 1
69 6101 40 1
70 6235 123 1
71 6308 62 1
72 6486 167 1
73 6582 85 1
74 6650 57 1
75 6716 55 1
76 6774 47 1
77 6821 36 1
78 6895 63 1
79 6945 39 1
80 7046 90 1
81 7093 36 1
82 7162 58 1
83 7225 52 1
84 7342 106 1
85 7444 91 1
86 7499 44 1
87 7544 34 1
88 7722 167 1
89 7772 39 1
90 7827 44 1
91 7997 159 1
92 8071 63 1
93 8140 58 1
94 8195 44 1
95 8270 64 1
96 8353 72 1
97 8417 53 1
98 8477 49 1
99 8555 67 1
100 8609 43 1
101 8659 39 1
102 8834 164 1
103 8891 46 1
104 8964 62 1
105 9148 173 1
106 9209 50 1
107 9291 71 1
108 9339 37 1
109 9401 51 1
110 9448 36 1
111 9504 45 1
112 9585 70 1
113 9744 148 1
114 9815 60 1
115 9949 123 1
116 10001 41 1
117 10064 52 1
118 10112 37 1
119 10186 63 1
120 10305 108 1
121 10397 81 1
122 10468 60 1
123 10514 35 1
124 10562 37 1
125 10710 137 1
126 10756 35 1
127 10806 39 1
128 10891 74 1
129 10966 64 1
130 11019 42 1
131 11092 62 1
132 11183 80 1
133 11353 159 1
134 11419 55 1
135 11524 94 1
136 11574 39 1
137 11632 47 1
138 11684 41 1
139 11748 53 1
140 11847 88 1
141 11938 80 1
142 11981 32 1
143 12062 70 1
144 12168 95 1
145 12274 95 1
146 12346 61 1
147 12419 62 1
148 12462 32 1
149 12526 53 1
