Episode_num Num_steps Reward Lap_count
1 54 53 1
2 104 49 1
3 235 130 1
4 314 78 1
5 371 56 1
6 414 42 1
7 495 80 1
8 598 102 1
9 707 108 1
10 772 64 1
11 916 143 1
12 1023 106 1
13 1090 66 1
14 1138 47 1
15 1264 125 1
16 1350 85 1
17 1440 89 1
18 1583 142 1
19 1640 56 1
20 1705 64 1
21 1788 82 1
22 1915 126 1
23 1981 65 1
24 2036 54 1
25 2139 102 1
26 2301 161 1
27 2413 111 1
28 2511 97 1
29 2618 106 1
30 2738 119 1
31 2789 50 1
32 2939 149 1
33 3120 180 1
34 3291 170 1
35 3353 61 1
36 3415 61 1
37 3519 103 1
38 3614 94 1
39 3750 135 1
40 3798 47 1
41 3839 40 1
42 3913 73 1
43 3975 61 1
44 4161 185 1
45 4263 101 1
46 4326 62 1
47 4375 48 1
48 4421 45 1
49 4534 112 1
50 4587 52 1
51 4652 64 1
52 4702 49 1
53 4848 145 1
54 4909 60 1
55 4958 48 1
56 5045 86 1
57 5185 139 1
58 5272 86 1
59 5326 53 1
60 5388 61 1
61 5502 113 1
62 5571 68 1
63 5677 105 1
64 5759 81 1
65 5809 49 1
66 5874 64 1
67 5930 55 1
68 6032 101 1
69 6125 92 1
70 6295 169 1
71 6362 66 1
72 6443 80 1
73 6604 160 1
74 6710 105 1
75 6771 60 1
76 6900 128 1
77 7019 118 1
78 7152 132 1
79 7222 69 1
80 7315 92 1
81 7373 57 1
82 7444 70 1
83 7497 52 1
84 7549 51 1
85 7677 127 1
86 7749 71 1
87 7805 55 1
88 7905 99 1
89 7994 88 1
90 8111 116 1
91 8161 49 1
92 8211 49 1
93 8270 58 1
94 8333 62 1
95 8387 53 1
96 8489 101 1
97 8540 50 1
98 8644 103 1
99 8707 62 1
100 8759 51 1
101 8850 90 1
102 8906 55 1
103 8980 73 1
104 9050 69 1
105 9160 109 1
106 9344 183 1
107 9419 74 1
108 9504 84 1
109 9591 86 1
110 9653 61 1
111 9702 48 1
112 9795 92 1
113 9920 124 1
114 9972 51 1
115 10001 28 1
116 10067 65 1
117 10115 47 1
118 10182 66 1
119 10241 58 1
120 10298 56 1
121 10461 162 1
122 10515 53 1
123 10565 49 1
124 10639 73 1
125 10699 59 1
126 10754 54 1
127 10803 48 1
128 10988 184 1
129 11054 65 1
130 11181 126 1
131 11297 115 1
132 11406 108 1
133 11537 130 1
134 11579 41 1
135 11672 92 1
136 11721 48 1
137 11805 83 1
138 11858 52 1
139 11929 70 1
140 11976 46 1
141 12132 155 1
142 12205 72 1
143 12258 52 1
144 12360 101 1
145 12437 76 1
146 12484 46 1
147 12561 76 1
148 12622 60 1
149 12677 54 1
150 12737 59 1
151 12798 60 1
152 12848 49 1
153 12966 117 1
154 13043 76 1
155 13082 38 1
156 13132 49 1
157 13226 93 1
158 13339 112 1
159 13381 41 1
160 13433 51 1
161 13538 104 1
162 13580 41 1
163 13639 58 1
164 13704 64 1
165 13749 44 1
166 13823 73 1
167 13877 53 1
168 13929 51 1
169 13992 62 1
170 14036 43 1
171 14082 45 1
172 14132 49 1
173 14180 47 1
174 14238 57 1
175 14304 65 1
176 14361 56 1
177 14433 71 1
