Episode_num Num_steps Reward Lap_count
1 49 61.4596184347 1
2 125 98.5032201165 1
3 178 68.5050570465 1
4 252 97.9447757801 1
5 316 82.4313919182 1
6 424 158.854439554 1
7 482 77.8666262214 1
8 536 70.2356514171 1
9 686 230.374867779 1
10 732 56.7171305724 1
11 797 86.8764991171 1
12 949 207.289942299 1
13 1009 76.0728367905 1
14 1137 198.031211583 1
15 1185 58.6909032143 1
16 1233 62.4901107866 1
17 1293 77.2718310652 1
18 1350 72.6428328165 1
19 1451 134.157062383 1
20 1553 156.918762214 1
21 1609 73.0584158524 1
22 1674 94.8307961371 1
23 1782 144.237666961 1
24 1895 160.347726452 1
25 1945 61.8158560892 1
26 1997 68.5992788488 1
27 2047 64.9865398603 1
28 2097 63.592994363 1
29 2184 134.60752319 1
30 2263 106.483018365 1
31 2309 55.6347050679 1
32 2383 101.996222988 1
33 2435 66.580212226 1
34 2504 88.9576377553 1
35 2542 44.2861840667 1
36 2659 167.809379889 1
37 2725 95.3925139903 1
38 2784 73.0160565466 1
39 2892 161.768473105 1
40 3002 157.392518346 1
41 3068 88.2421499563 1
42 3126 80.2175672894 1
43 3168 49.6814129474 1
44 3251 116.011720679 1
45 3295 53.9567749626 1
46 3416 176.935764865 1
47 3524 173.230743261 1
48 3577 66.9217266792 1
49 3645 91.9223179356 1
50 3718 94.949380453 1
51 3807 115.646090514 1
52 3905 135.038881357 1
53 3976 100.187585983 1
54 4028 64.8868343804 1
55 4095 87.5653648114 1
56 4142 57.1659054575 1
57 4186 51.6084835381 1
58 4226 47.2624911391 1
59 4380 221.586643218 1
60 4433 74.2329391952 1
61 4484 67.3159552216 1
62 4536 64.2131966467 1
63 4576 48.7818603752 1
64 4658 108.169978257 1
65 4706 57.7614096327 1
66 4787 117.638017224 1
67 4877 119.39005059 1
68 4926 63.3652608398 1
69 5007 124.657854364 1
70 5052 52.8695444887 1
71 5101 59.6720497844 1
72 5189 126.034829783 1
73 5264 104.879262939 1
74 5311 60.8814184614 1
75 5357 59.6182823612 1
76 5446 123.773892839 1
77 5497 64.628863148 1
78 5544 60.9765456103 1
79 5608 84.9554544006 1
80 5690 106.103777491 1
81 5733 56.1039843627 1
82 5776 53.7292076964 1
83 5855 110.643774418 1
84 5906 63.1688923446 1
85 5968 81.7020018897 1
86 6069 148.390086301 1
87 6235 283.007642248 1
88 6296 77.5987469264 1
89 6384 130.81108209 1
90 6452 91.255871763 1
91 6523 90.2508213219 1
92 6577 68.5783641838 1
93 6639 79.1707961265 1
94 6698 83.598975446 1
95 6739 48.623946892 1
96 6835 142.17097188 1
97 6884 61.212011797 1
98 6932 58.6518196282 1
99 6993 78.3346428883 1
100 7069 96.4812850937 1
101 7126 72.1812617705 1
102 7230 152.819838098 1
103 7344 155.747769035 1
104 7389 54.0833038342 1
105 7469 105.979773725 1
106 7570 153.832647562 1
107 7623 71.5237741535 1
108 7668 52.5445946255 1
109 7734 84.8723561398 1
110 7833 127.751246616 1
111 7978 196.361748009 1
112 8115 216.302775594 1
113 8229 173.779593163 1
114 8311 113.691091064 1
115 8435 176.269560029 1
116 8483 65.6870352739 1
117 8582 130.283910692 1
118 8630 60.4760167234 1
119 8705 105.490568601 1
120 8770 84.1183755886 1
121 8897 182.575925552 1
122 8994 132.209002618 1
123 9038 54.7950469433 1
124 9087 58.7750337306 1
125 9223 210.231283178 1
126 9295 100.988539063 1
127 9352 73.4280622496 1
128 9455 153.121343207 1
129 9520 91.1373550184 1
130 9665 219.650964858 1
131 9812 238.998727865 1
132 9906 136.658748583 1
133 9961 71.6373699576 1
134 10001 47.1597193683 1
135 10056 70.3925443487 1
136 10116 74.3737158913 1
137 10178 79.6837770031 1
138 10220 54.2564335576 1
139 10284 82.3442663518 1
140 10366 112.401712682 1
141 10408 53.0876585125 1
142 10473 85.0653300328 1
143 10516 52.4613605868 1
144 10564 60.5226068294 1
145 10609 52.9730670361 1
146 10646 42.4826227442 1
147 10696 64.6329408491 1
148 10740 52.7190127042 1
149 10782 48.9738318391 1
150 10862 112.442307771 1
151 10918 68.2960925348 1
152 10959 47.757186294 1
153 11010 66.3965898759 1
154 11084 97.5330538293 1
155 11178 128.337306192 1
156 11241 86.0593617374 1
157 11309 90.1302558383 1
158 11368 72.0005705708 1
159 11429 77.5429439656 1
160 11483 68.2231492735 1
161 11542 77.8448080736 1
162 11578 40.9832966018 1
163 11630 66.6480491046 1
164 11672 49.16168137 1
165 11719 56.1532224881 1
166 11757 45.7381279179 1
167 11826 92.7586166567 1
168 11869 50.1512261971 1
169 11953 108.230322483 1
170 11993 48.6038755295 1
171 12038 58.2605149705 1
172 12124 126.210132457 1
173 12209 109.863591239 1
174 12253 55.9781214766 1
175 12327 97.3663252457 1
176 12371 51.6224702791 1
177 12444 97.7358569496 1
178 12479 40.074539549 1
179 12523 54.7590507206 1
180 12579 67.9092953066 1
181 12667 123.199367495 1
182 12725 77.8834445262 1
183 12761 41.3058331882 1
184 12811 64.9956369722 1
185 12855 52.4926520295 1
186 12915 81.6497200821 1
187 12958 52.749376504 1
188 13040 116.306051237 1
189 13081 49.7896446195 1
190 13118 42.73322838 1
