Episode_num Num_steps Reward Lap_count
1 73 62 1
2 139 55 1
3 209 59 1
4 278 58 1
5 361 72 1
6 442 70 1
7 485 32 1
8 545 49 1
9 601 45 1
10 694 82 1
11 757 52 1
12 901 133 1
13 1026 114 1
14 1094 57 1
15 1169 64 1
16 1289 109 1
17 1337 37 1
18 1424 76 1
19 1486 51 1
20 1580 83 1
21 1656 65 1
22 1713 46 1
23 1766 42 1
24 1908 131 1
25 2006 87 1
26 2081 64 1
27 2147 55 1
28 2222 64 1
29 2274 41 1
30 2355 70 1
31 2440 74 1
32 2518 67 1
33 2580 51 1
34 2633 42 1
35 2700 56 1
36 2756 45 1
37 2816 49 1
38 2887 60 1
39 2954 56 1
40 3003 38 1
41 3097 83 1
42 3148 40 1
43 3250 91 1
44 3346 85 1
45 3421 64 1
46 3476 44 1
47 3631 144 1
48 3694 52 1
49 3830 125 1
50 3914 73 1
51 3975 50 1
52 4033 47 1
53 4133 89 1
54 4220 76 1
55 4282 51 1
56 4345 52 1
57 4437 81 1
58 4593 145 1
59 4677 73 1
60 4783 95 1
61 4829 35 1
62 5012 172 1
63 5076 53 1
64 5161 74 1
65 5233 61 1
66 5292 48 1
67 5354 51 1
68 5423 58 1
69 5482 48 1
70 5526 33 1
71 5570 33 1
72 5636 55 1
73 5715 68 1
74 5769 43 1
75 5827 47 1
76 5885 47 1
77 5961 65 1
78 6009 37 1
79 6061 41 1
80 6180 108 1
81 6278 87 1
82 6351 62 1
83 6459 97 1
84 6537 67 1
85 6637 89 1
86 6794 146 1
87 6861 56 1
88 6937 65 1
89 7029 81 1
90 7102 62 1
91 7172 59 1
92 7343 160 1
93 7440 86 1
94 7493 42 1
95 7611 107 1
96 7674 52 1
97 7754 69 1
98 7894 129 1
99 7942 37 1
100 8093 140 1
101 8158 54 1
102 8216 47 1
103 8288 61 1
104 8339 40 1
105 8400 50 1
106 8527 116 1
107 8576 38 1
108 8651 64 1
109 8762 100 1
110 8883 110 1
111 8976 82 1
112 9107 120 1
113 9208 90 1
114 9258 39 1
115 9352 83 1
116 9433 70 1
