Episode_num Num_steps Reward Lap_count
1 63 52 1
2 118 44 1
3 167 38 1
4 228 50 1
5 274 35 1
6 377 92 1
7 547 159 1
8 600 42 1
9 649 38 1
10 792 132 1
11 848 45 1
12 892 33 1
13 1058 155 1
14 1108 39 1
15 1192 73 1
16 1365 162 1
17 1423 47 1
18 1504 70 1
19 1610 95 1
20 1688 67 1
21 1783 84 1
22 1955 161 1
23 1999 33 1
24 2077 67 1
25 2175 87 1
26 2274 88 1
27 2328 43 1
28 2411 72 1
29 2488 66 1
30 2536 37 1
31 2590 43 1
32 2643 42 1
33 2752 98 1
34 2832 69 1
35 2952 109 1
36 3018 55 1
37 3100 71 1
38 3161 50 1
39 3205 33 1
40 3260 44 1
41 3313 42 1
42 3363 39 1
43 3432 58 1
44 3510 67 1
45 3564 43 1
46 3632 57 1
47 3685 42 1
48 3772 76 1
49 3835 52 1
50 3893 47 1
51 3960 56 1
52 4046 75 1
53 4168 111 1
54 4235 56 1
55 4311 65 1
56 4378 56 1
57 4444 55 1
58 4584 129 1
59 4641 46 1
60 4697 45 1
61 4758 50 1
62 4839 70 1
63 4896 46 1
64 4971 64 1
65 5151 169 1
66 5225 63 1
67 5281 45 1
68 5373 81 1
69 5425 41 1
70 5548 112 1
71 5650 91 1
72 5751 90 1
73 5802 40 1
74 5854 41 1
75 5921 56 1
76 5981 49 1
77 6158 166 1
78 6206 37 1
79 6329 112 1
80 6441 101 1
81 6517 65 1
82 6588 60 1
83 6636 37 1
84 6696 49 1
85 6755 48 1
86 6800 34 1
87 6905 94 1
88 6982 66 1
89 7027 34 1
90 7082 44 1
91 7186 93 1
92 7313 116 1
93 7369 45 1
94 7459 79 1
95 7579 109 1
96 7643 53 1
97 7739 85 1
98 7837 87 1
99 8016 168 1
100 8104 77 1
101 8158 43 1
102 8265 96 1
103 8309 33 1
104 8360 40 1
105 8432 61 1
106 8564 121 1
107 8624 49 1
108 8674 39 1
109 8811 126 1
110 8873 51 1
111 8963 79 1
112 9035 61 1
113 9194 148 1
114 9257 52 1
115 9335 67 1
116 9476 130 1
117 9533 46 1
118 9578 34 1
119 9641 52 1
120 9723 71 1
121 9787 53 1
122 9960 162 1
123 10001 30 1
124 10065 53 1
125 10112 36 1
126 10182 59 1
127 10225 32 1
128 10303 67 1
129 10378 64 1
130 10433 44 1
131 10473 29 1
132 10616 132 1
133 10697 70 1
134 10757 49 1
