Episode_num Num_steps Reward Lap_count
1 57 46 1
2 125 57 1
3 172 36 1
4 243 60 1
5 350 96 1
6 430 69 1
7 500 59 1
8 613 102 1
9 689 65 1
10 738 38 1
11 900 151 1
12 1000 89 1
13 1109 98 1
14 1161 41 1
15 1232 60 1
16 1334 91 1
17 1437 92 1
18 1507 59 1
19 1558 40 1
20 1617 48 1
21 1675 47 1
22 1764 78 1
23 1818 43 1
24 1870 41 1
25 1966 85 1
26 2016 39 1
27 2110 83 1
28 2177 56 1
29 2245 57 1
30 2324 68 1
31 2388 53 1
32 2445 46 1
33 2494 38 1
34 2559 54 1
35 2620 50 1
36 2670 39 1
37 2795 114 1
38 2921 115 1
39 2998 66 1
40 3051 42 1
41 3118 56 1
42 3186 57 1
43 3256 59 1
44 3433 166 1
45 3492 48 1
46 3656 153 1
47 3721 54 1
48 3811 79 1
49 3874 52 1
50 3951 66 1
51 4033 71 1
52 4096 52 1
53 4178 71 1
54 4241 52 1
55 4335 83 1
56 4513 167 1
57 4585 61 1
58 4718 122 1
59 4873 144 1
60 4949 65 1
61 5060 100 1
62 5117 46 1
63 5196 68 1
64 5252 45 1
65 5368 105 1
66 5540 161 1
67 5639 88 1
68 5813 163 1
69 5893 69 1
70 5978 74 1
71 6156 167 1
72 6229 62 1
73 6300 60 1
74 6367 56 1
75 6547 169 1
76 6594 36 1
77 6648 43 1
78 6703 44 1
79 6883 169 1
80 6921 27 1
81 6987 55 1
82 7061 63 1
83 7170 98 1
84 7278 97 1
85 7387 98 1
86 7510 112 1
87 7559 38 1
88 7725 155 1
89 7812 76 1
90 7915 92 1
91 8092 166 1
92 8221 118 1
93 8295 63 1
94 8369 63 1
95 8477 97 1
96 8557 69 1
97 8612 44 1
98 8782 159 1
99 8856 63 1
100 8959 92 1
101 9049 79 1
102 9114 54 1
103 9218 93 1
104 9282 53 1
105 9374 81 1
106 9443 58 1
107 9501 47 1
108 9560 48 1
109 9610 39 1
110 9661 40 1
111 9743 71 1
112 9812 58 1
113 9989 166 1
114 10001 1 1
115 10062 50 1
116 10112 39 1
117 10187 64 1
118 10266 68 1
119 10327 50 1
120 10467 129 1
121 10521 43 1
122 10564 32 1
123 10635 60 1
124 10695 49 1
125 10754 48 1
126 10801 36 1
127 10848 36 1
128 10940 81 1
129 11010 59 1
130 11084 63 1
131 11170 75 1
132 11218 37 1
133 11382 153 1
134 11429 36 1
135 11518 78 1
136 11570 41 1
137 11661 80 1
138 11718 46 1
139 11801 72 1
140 11860 48 1
141 12015 144 1
142 12158 132 1
143 12321 152 1
144 12505 173 1
145 12614 98 1
146 12680 55 1
147 12739 48 1
148 12816 66 1
149 12913 86 1
150 13011 87 1
151 13055 33 1
152 13097 31 1
153 13217 109 1
154 13376 148 1
155 13480 93 1
156 13523 32 1
157 13566 32 1
158 13648 71 1
159 13707 48 1
160 13750 32 1
161 13912 151 1
162 14093 170 1
163 14145 41 1
164 14319 163 1
165 14363 33 1
166 14524 150 1
167 14570 35 1
168 14609 28 1
169 14678 58 1
170 14727 38 1
171 14793 55 1
172 14839 35 1
173 14877 27 1
174 14921 33 1
175 14961 29 1
176 14998 26 1
177 15045 36 1
178 15107 51 1
179 15154 36 1
180 15196 31 1
181 15265 58 1
182 15314 38 1
183 15371 46 1
184 15407 25 1
185 15472 54 1
186 15514 31 1
187 15551 26 1
188 15620 58 1
189 15680 49 1
190 15719 28 1
191 15759 29 1
192 15863 93 1
193 15947 73 1
194 16067 109 1
195 16179 101 1
196 16226 36 1
197 16285 48 1
198 16352 56 1
199 16394 31 1
200 16472 67 1
201 16524 41 1
202 16572 37 1
203 16633 50 1
204 16720 76 1
205 16847 116 1
206 16932 74 1
207 16992 49 1
208 17156 153 1
209 17331 164 1
210 17427 85 1
211 17600 162 1
212 17767 156 1
213 17938 160 1
214 17987 38 1
215 18037 39 1
216 18119 71 1
217 18334 204 1
218 18384 39 1
219 18735 340 1
220 18909 163 1
221 19262 342 1
222 19544 271 1
223 19757 202 1
224 19927 159 1
225 20001 63 2
226 20727 715 1
227 21664 926 2
228 21779 104 1
229 22713 923 2
230 23649 925 2
231 23722 62 1
232 24423 690 1
233 25134 700 1
234 25833 688 1
235 26537 693 1
236 27237 689 1
237 27447 199 1
238 28152 694 1
239 28843 680 1
240 29551 697 1
241 30001 439 2
242 30470 458 1
243 31165 684 1
244 31861 685 1
245 32331 459 1
246 33050 708 1
247 33520 459 1
248 34228 697 1
249 34932 693 1
250 35634 691 1
251 36363 718 1
252 37300 926 1
253 37893 582 1
254 38488 583 1
255 38963 464 1
256 39678 704 1
257 40001 312 1
258 40952 940 2
259 41902 939 2
260 42378 465 1
261 43320 931 2
262 44059 728 1
